stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
890000,,Stockland Aitkenvale (Elizabeth St),,-19.298296,146.76445,,,0,
890001,,Anne Street,,-19.290117,146.766251,,,0,
890002,,Vincent State School,,-19.2885,146.764282,,,0,
890003,,Vincent Village,,-19.288176,146.761826,,,0,
890004,,St James Village,,-19.288271,146.759735,,,0,
890005,,Heatley Park,,-19.287369,146.756897,,,0,
890006,,Heatley Secondary College,,-19.28796,146.753784,,,0,
890007,,Angus Ave,,-19.287308,146.750656,,,0,
890008,,Louisa Ck,,-19.283176,146.75032,,,0,
890009,,Pankina St,,-19.280725,146.750549,,,0,
890010,,High Vista Dr,,-19.27907,146.749588,,,0,
890011,,Galway Ct,,-19.277147,146.749634,,,0,
890012,,Banora Ct,,-19.274988,146.749878,,,0,
890013,,Hastings St,,-19.274647,146.748901,,,0,
890014,,Bennett St,,-19.273369,146.744064,,,0,
890015,,Stretton La,,-19.271328,146.744339,,,0,
890016,,Partridge St,,-19.271523,146.746368,,,0,
890017,,High Vista Park,,-19.271648,146.748642,,,0,
890018,,Greg Jabs Court,,-19.272511,146.755814,,,0,
890019,,Bayswater / Duckworth,,-19.273121,146.760986,,,0,
890020,,Pilkington St,,-19.273539,146.766022,,,0,
890021,,Bayswater / Mooney,,-19.274542,146.773209,,,0,
890022,,Trevor Street,,-19.274694,146.774689,,,0,
890023,,Ferguson St,,-19.27499,146.777588,,,0,
890024,,Reardon St,,-19.275232,146.779953,,,0,
890025,,Hugh St,,-19.275349,146.781265,,,0,
890026,,Bayswater / Hugh,,-19.275686,146.784393,,,0,
890027,,Hindley St,,-19.275995,146.787369,,,0,
890028,,Bayswater / Kings,,-19.276402,146.791656,,,0,
890029,,Castletown Shopping Centre,,-19.272966,146.790176,,,0,
890030,,Townsville Showgrounds,,-19.269367,146.792831,,,0,
890031,,Humphrey St,,-19.266748,146.79335,,,0,
890032,,North St,,-19.264824,146.793594,,,0,
890033,,Ralston St,,-19.261923,146.792236,,,0,
890034,,Cutheringa Park,,-19.259411,146.786575,,,0,
890035,,Stagpole St,,-19.255444,146.787567,,,0,
890036,,William St,,-19.254148,146.787811,,,0,
890037,,Old Common Rd,,-19.250341,146.789444,,,0,
890038,,Evans St,,-19.249163,146.791199,,,0,
890039,,Taylor  St,,-19.248379,146.792389,,,0,
890040,,Bishop St,,-19.246393,146.793747,,,0,
890041,,Marshall St (Belgian Gardens),,-19.245453,146.797455,,,0,
890042,,Howitt St,,-19.245007,146.799957,,,0,
890043,,Landsborough St,,-19.247372,146.805923,,,0,
890044,,Burke St,,-19.249399,146.80957,,,0,
890045,,Kennedy St,,-19.250717,146.81192,,,0,
890046,,Leichhardt St (North Ward),,-19.252344,146.814072,,,0,
890048,,Leichhardt St (North Ward),,-19.252039,146.813492,,,0,
890049,,Kennedy St,,-19.250681,146.811478,,,0,
890050,,Burke St,,-19.248301,146.80722,,,0,
890051,,Landsborough St,,-19.24671,146.804337,,,0,
890052,,Howitt St,,-19.245102,146.800858,,,0,
890053,,Marshall St (Belgian Gardens),,-19.245638,146.797592,,,0,
890054,,Taylor St,,-19.248755,146.792206,,,0,
890055,,Evans St,,-19.249302,146.791367,,,0,
890056,,Old Common Rd,,-19.250334,146.789825,,,0,
890057,,William St,,-19.253941,146.788071,,,0,
890058,,Stagpole St,,-19.255604,146.78775,,,0,
890059,,Harold St,,-19.257137,146.78746,,,0,
890060,,Cutheringa Park,,-19.259136,146.78688,,,0,
890061,,Crauford St,,-19.260714,146.789032,,,0,
890062,,Ralston St,,-19.261698,146.792236,,,0,
890063,,North St,,-19.265089,146.793655,,,0,
890064,,Humphrey St,,-19.266876,146.793427,,,0,
890065,,Townsville Showgrounds,,-19.269644,146.792969,,,0,
890066,,Bayswater/ Kings,,-19.276596,146.791534,,,0,
890067,,Latchford St,,-19.27634,146.789444,,,0,
890068,,Hindley St,,-19.275972,146.785843,,,0,
890069,,Bayswater / Hugh,,-19.27582,146.784332,,,0,
890070,,Reardon St,,-19.275356,146.779816,,,0,
890071,,Pilkington St,,-19.273943,146.767044,,,0,
890072,,Bayswater / Duckworth,,-19.273312,146.76123,,,0,
890073,,Greg Jabs Court,,-19.272837,146.756226,,,0,
890074,,Buchanan St,,-19.272306,146.750916,,,0,
890075,,High Vista Park,,-19.272062,146.749344,,,0,
890076,,Bennett St,,-19.273289,146.743912,,,0,
890077,,Hastings St,,-19.27441,146.747345,,,0,
890078,,Mt Louisa Dr,,-19.274628,146.749054,,,0,
890079,,Banora Ct,,-19.275131,146.749969,,,0,
890080,,Galway Ct,,-19.27729,146.749725,,,0,
890081,,High Vista Dr,,-19.279003,146.74968,,,0,
890082,,Pankina St,,-19.280739,146.750656,,,0,
890083,,Louisa Ck,,-19.283342,146.75032,,,0,
890084,,Angus Ave,,-19.287262,146.750793,,,0,
890085,,Heatley Secondary College,,-19.287243,146.75473,,,0,
890086,,St James Village,,-19.288158,146.760208,,,0,
890087,,Vincent Village,,-19.287937,146.762085,,,0,
890088,,Vincent State School,,-19.288427,146.764511,,,0,
890089,,Anne St,,-19.289351,146.766098,,,0,
890090,,Anne St,,-19.29719,146.767166,,,0,
890091,,Stockland Aitkenvale (Ross River Rd),,-19.298222,146.762863,,,0,
890092,,The Townsville Hospital,,-19.319624,146.76178,,,0,
890093,,The Townsville Hospital,,-19.319525,146.76152,,,0,
890099,,James Cook University (Douglas Campus),,-19.327745,146.755905,,,0,
890100,,George Roberts Hall,,-19.324389,146.750763,,,0,
890101,,Tennant St,,-19.314976,146.76123,,,0,
890102,,Leopold St,,-19.304289,146.760681,,,0,
890103,,Lonsdale St,,-19.289263,146.767532,,,0,
890104,,Swanson St,,-19.288481,146.770584,,,0,
890105,,Sheffield St,,-19.286119,146.771133,,,0,
890106,,McDonald St,,-19.283955,146.771378,,,0,
890107,,Tippett St,,-19.281927,146.771622,,,0,
890108,,Goodwin St,,-19.278883,146.772003,,,0,
890109,,Maroong St,,-19.276909,146.772324,,,0,
890110,,Lonerganne St,,-19.262323,146.774872,,,0,
890111,,Clarke St,,-19.260956,146.775024,,,0,
890112,,Dearness St,,-19.259237,146.775238,,,0,
890113,,Halifax St,,-19.257534,146.775467,,,0,
890114,,Lockheed St,,-19.25703,146.776794,,,0,
890115,,Peel / Lockheed,,-19.257673,146.778107,,,0,
890116,,Lancaster St,,-19.258801,146.777771,,,0,
890119,,Peel St,,-19.263281,146.777771,,,0,
890120,,Ramsay St,,-19.263439,146.779297,,,0,
890121,,Lonerganne Street,,-19.263634,146.781021,,,0,
890122,,Douglas St,,-19.264645,146.781754,,,0,
890124,, Ralston Street,,-19.261868,146.785797,,,0,
890125,,Marshall St,,-19.244295,146.798126,,,0,
890126,,Rowes Bay Caravan Park,,-19.241385,146.791229,,,0,
890127,,Rowes Bay,,-19.23951,146.789063,,,0,
890128,,RSL Villas,,-19.235081,146.78569,,,0,
890129,,Garden Settlement,,-19.216911,146.776459,,,0,
890130,,Seaward St,,-19.206234,146.774597,,,0,
890131,,Morrell St,,-19.202833,146.771683,,,0,
890132,,Wackett St,,-19.200428,146.771103,,,0,
890133,,Ralston St,,-19.261415,146.786179,,,0,
890134,,Douglas St,,-19.264294,146.781616,,,0,
890135,,Lonerganne Street,,-19.263756,146.781357,,,0,
890136,,Ramsay St,,-19.263556,146.779327,,,0,
890137,,Peel St,,-19.263367,146.777618,,,0,
890140,,Lancaster St,,-19.258707,146.77771,,,0,
890141,,Peel / Lockheed,,-19.257656,146.778015,,,0,
890142,,Lockheed St,,-19.257072,146.776779,,,0,
890143,,Halifax St,,-19.257414,146.775574,,,0,
890144,,Dearness St,,-19.259394,146.77533,,,0,
890145,,Clarke St,,-19.261036,146.775146,,,0,
890146,,Lonerganne St,,-19.263412,146.774872,,,0,
890147,,Garbutt Shopping Centre (Ingham Rd),,-19.266123,146.782455,,,0,
890148,,Tippett St,,-19.281916,146.771774,,,0,
890149,,Tyrrell St,,-19.287342,146.771408,,,0,
890150,,Lonsdale St,,-19.289019,146.769104,,,0,
890151,,Anne St,,-19.289495,146.767426,,,0,
890152,,Alfred St,,-19.301092,146.761353,,,0,
890153,,Leopold St,,-19.30448,146.760956,,,0,
890154,,Good Shepherd Hospice,,-19.310787,146.762894,,,0,
890155,,Tennant St,,-19.314957,146.761719,,,0,
890156,,Riverside Bvd,,-19.317198,146.759796,,,0,
890157,,Western Campus,,-19.325203,146.751877,,,0,
890158,,James Cook University (Douglas Campus),,-19.327639,146.75621,,,0,
890159,,Rotary International House,,-19.332043,146.755829,,,0,
890160,,Engineering,,-19.331364,146.759506,,,0,
890161,,Tropical Science,,-19.329945,146.760254,,,0,
890162,,Medicine,,-19.326488,146.760559,,,0,
890163,,Nursing,,-19.324942,146.761169,,,0,
890164,,Riverside Shopping Centre,,-19.317137,146.758224,,,0,
890165,,Regatta Cr,,-19.316837,146.755737,,,0,
890166,,Riverside Community Centre,,-19.31661,146.75296,,,0,
