shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
8010008,-17.524596285,146.016220994,10001
8010008,-17.5241066284,146.016270721,10002
8010008,-17.523906822,146.016311176,10003
8010008,-17.5217431408,146.016529191,10004
8010008,-17.5217536931,146.016624294,10005
8010008,-17.5217536931,146.016624294,20001
8010008,-17.5217931482,146.016977657,20002
8010008,-17.5218036342,146.01707089,20003
8010008,-17.5218342414,146.017478902,20004
8010008,-17.5234477858,146.018241822,20005
8010008,-17.5238556059,146.018392822,20006
8010008,-17.5244607585,146.018611147,20007
8010008,-17.5243759647,146.019007683,20008
8010008,-17.5241330135,146.020165016,20009
8010008,-17.5239746552,146.020920201,20010
8010008,-17.5238976041,146.021281794,20011
8010008,-17.5238167435,146.021764325,20012
8010008,-17.5238021753,146.022038307,20013
8010008,-17.5238205797,146.022253903,20014
8010008,-17.5238720329,146.022921437,20015
8010008,-17.5236505185,146.023364424,20016
8010008,-17.5234635262,146.024174082,20017
8010008,-17.5232442585,146.025367021,20018
8010008,-17.5211876526,146.024930039,20019
8010008,-17.5191904945,146.024497331,20020
8010008,-17.5189846647,146.02556238,20021
8010008,-17.5189846647,146.02556238,30001
8010008,-17.5189564912,146.025705788,30002
8010008,-17.5186935381,146.026908799,30003
8010008,-17.5184666952,146.028116979,30004
8010008,-17.5182115903,146.029364633,30005
8010008,-17.5192058906,146.029561517,30006
8010008,-17.5192058906,146.029561517,40001
8010008,-17.5202299638,146.029761941,40002
8010008,-17.5222612194,146.030218685,40003
8010008,-17.522502026,146.028998703,40004
8010008,-17.5244688498,146.029462588,40005
8010008,-17.5253942917,146.030024495,40006
8010009,-17.5253942917,146.030024495,10001
8010009,-17.5258239212,146.030284247,10002
8010009,-17.5262877931,146.030623216,10003
8010009,-17.5259250647,146.030934911,10004
8010009,-17.5259250647,146.030934911,20001
8010009,-17.5256015201,146.03121139,20002
8010009,-17.5251741256,146.031676324,20003
8010009,-17.5241499504,146.031167823,20004
8010009,-17.5222612194,146.030218685,20005
8010009,-17.5202299638,146.029761941,20006
8010009,-17.5191841599,146.029556733,20007
8010009,-17.5191841599,146.029556733,30001
8010009,-17.5182115903,146.029364633,30002
8010009,-17.5184666952,146.028116979,30003
8010009,-17.5186935381,146.026908799,30004
8010009,-17.5189564912,146.025705788,30005
8010009,-17.5189860957,146.025552025,30006
8010009,-17.5189860957,146.025552025,40001
8010009,-17.5191904945,146.024497331,40002
8010009,-17.5211876526,146.024930039,40003
8010009,-17.5232442585,146.025367021,40004
8010009,-17.5234635262,146.024174082,40005
8010009,-17.5236505185,146.023364424,40006
8010009,-17.5238720329,146.022921437,40007
8010009,-17.5238205797,146.022253903,40008
8010009,-17.5238021753,146.022038307,40009
8010009,-17.5238167435,146.021764325,40010
8010009,-17.5238976041,146.021281794,40011
8010009,-17.5239746552,146.020920201,40012
8010009,-17.5241330135,146.020165016,40013
8010009,-17.5243759647,146.019007683,40014
8010009,-17.5244607585,146.018611147,40015
8010009,-17.5238556059,146.018392822,40016
8010009,-17.5234477858,146.018241822,40017
8010009,-17.5218342414,146.017478902,40018
8010009,-17.5205875424,146.01690227,40019
8010009,-17.5193525075,146.016325196,40020
8010009,-17.5189476195,146.016130081,40021
8010009,-17.5186817066,146.016054158,40022
8010009,-17.51806531,146.016152756,40023
8010009,-17.5182245386,146.018038042,40024
8010009,-17.5182112382,146.018093797,40025
8010009,-17.5181878374,146.018143386,40026
8010009,-17.518167463,146.018176941,40027
8010009,-17.5181320309,146.018241973,40028
8010009,-17.5181082952,146.018307493,40029
8010009,-17.5180932375,146.018338971,40030
