service_id,date,exception_type
GOOGLE-MAG_MUL-Weekday-00,20131007,2
GOOGLE-MAG_MUL-Weekday-00-1110000,20131007,2
GOOGLE-MAG_MUSU-Sunday-00,20131007,1
GOOGLE-MAG_MUL-Weekday-00,20131225,2
GOOGLE-MAG_MUL-Weekday-00-1110000,20131225,2
GOOGLE-MAG_MUSU-Sunday-00,20131225,1
GOOGLE-MAG_MUL-Weekday-00,20131226,2
GOOGLE-MAG_MUL-Weekday-00-0001000,20131226,2
GOOGLE-MAG_MUSU-Sunday-00,20131226,1
