trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
67880-GOOGLE-TWBA_MUL-Weekday-01,08:35:00,08:35:00,880522,43,0,0
67880-GOOGLE-TWBA_MUL-Weekday-01,08:36:00,08:36:00,880526,44,0,0
67880-GOOGLE-TWBA_MUL-Weekday-01,08:36:00,08:36:00,880527,45,0,0
67880-GOOGLE-TWBA_MUL-Weekday-01,08:37:00,08:37:00,880528,46,0,0
67880-GOOGLE-TWBA_MUL-Weekday-01,08:37:00,08:37:00,880529,47,0,0
67880-GOOGLE-TWBA_MUL-Weekday-01,08:38:00,08:38:00,880530,48,0,0
67880-GOOGLE-TWBA_MUL-Weekday-01,08:38:00,08:38:00,880531,49,0,0
67880-GOOGLE-TWBA_MUL-Weekday-01,08:39:00,08:39:00,880532,50,0,0
67880-GOOGLE-TWBA_MUL-Weekday-01,08:39:00,08:39:00,880533,51,0,0
67880-GOOGLE-TWBA_MUL-Weekday-01,08:40:00,08:40:00,880534,52,0,0
67880-GOOGLE-TWBA_MUL-Weekday-01,08:40:00,08:40:00,880535,53,0,0
67880-GOOGLE-TWBA_MUL-Weekday-01,08:41:00,08:41:00,880546,54,0,0
67880-GOOGLE-TWBA_MUL-Weekday-01,08:41:00,08:41:00,880547,55,0,0
67880-GOOGLE-TWBA_MUL-Weekday-01,08:42:00,08:42:00,880555,56,0,0
67880-GOOGLE-TWBA_MUL-Weekday-01,08:43:00,08:43:00,880556,57,0,0
67880-GOOGLE-TWBA_MUL-Weekday-01,08:44:00,08:44:00,880557,58,0,0
67880-GOOGLE-TWBA_MUL-Weekday-01,08:44:00,08:44:00,880558,59,0,0
67880-GOOGLE-TWBA_MUL-Weekday-01,08:44:00,08:44:00,880340,60,0,0
67880-GOOGLE-TWBA_MUL-Weekday-01,08:45:00,08:45:00,880341,61,0,0
67880-GOOGLE-TWBA_MUL-Weekday-01,08:46:00,08:46:00,880342,62,0,0
67880-GOOGLE-TWBA_MUL-Weekday-01,08:47:00,08:47:00,880217,63,0,0
67880-GOOGLE-TWBA_MUL-Weekday-01,08:50:00,08:50:00,880218,64,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,08:45:00,08:45:00,880492,1,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,08:45:00,08:45:00,880493,2,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,08:46:00,08:46:00,880494,3,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,08:46:00,08:46:00,880495,4,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,08:47:00,08:47:00,880496,5,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,08:47:00,08:47:00,880497,6,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,08:48:00,08:48:00,880498,7,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,08:50:00,08:50:00,880500,8,0,0
67881-GOOGLE-TWBA_MUL-Weekday-01,08:51:00,08:51:00,880501,9,0,0
