service_id,date,exception_type
GOOGLE-MAHV_MUL-Weekday-03-0101000,20130816,2
GOOGLE-MAHV_MUL-Weekday-03,20130819,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20130819,2
GOOGLE-MAHV_MUL-Weekday-03,20130820,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20130820,2
GOOGLE-MAHV_MUL-Weekday-03,20130821,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20130821,2
GOOGLE-MAHV_MUL-Weekday-03,20130822,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20130822,2
GOOGLE-MAHV_MUL-Weekday-03,20130823,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20130823,2
GOOGLE-MAHV_MUL-Weekday-03,20130826,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20130826,2
GOOGLE-MAHV_MUL-Weekday-03,20130827,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20130827,2
GOOGLE-MAHV_MUL-Weekday-03,20130828,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20130828,2
GOOGLE-MAHV_MUL-Weekday-03,20130829,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20130829,2
GOOGLE-MAHV_MUL-Weekday-03,20130830,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20130830,2
GOOGLE-MAHV_MUL-Weekday-03,20130902,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20130902,2
GOOGLE-MAHV_MUL-Weekday-03,20130903,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20130903,2
GOOGLE-MAHV_MUL-Weekday-03,20130904,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20130904,2
GOOGLE-MAHV_MUL-Weekday-03,20130905,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20130905,2
GOOGLE-MAHV_MUL-Weekday-03,20130906,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20130906,2
GOOGLE-MAHV_MUL-Weekday-03,20130909,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20130909,2
GOOGLE-MAHV_MUL-Weekday-03,20130910,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20130910,2
GOOGLE-MAHV_MUL-Weekday-03,20130911,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20130911,2
GOOGLE-MAHV_MUL-Weekday-03,20130912,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20130912,2
GOOGLE-MAHV_MUL-Weekday-03,20130913,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20130913,2
GOOGLE-MAHV_MUL-Weekday-03,20130916,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20130916,2
GOOGLE-MAHV_MUL-Weekday-03,20130917,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20130917,2
GOOGLE-MAHV_MUL-Weekday-03,20130918,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20130918,2
GOOGLE-MAHV_MUL-Weekday-03,20130919,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20130919,2
GOOGLE-MAHV_MUL-Weekday-03,20130920,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20130920,2
GOOGLE-MAHV_MUL-Weekday-03,20131007,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131007,2
GOOGLE-MAHV_MUL-Weekday-03,20131008,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131008,2
GOOGLE-MAHV_MUL-Weekday-03,20131009,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131009,2
GOOGLE-MAHV_MUL-Weekday-03,20131010,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131010,2
GOOGLE-MAHV_MUL-Weekday-03,20131011,2
