service_id,date,exception_type
GOOGLE-MACK_MUL-Weekday-02,20130624,2
GOOGLE-MACK_MUL-Weekday-02-0100100,20130624,2
GOOGLE-MACK_MUL-Weekday-02-0001000,20130624,2
GOOGLE-MACK_MUL-Weekday-02,20130625,2
GOOGLE-MACK_MUL-Weekday-02-0100100,20130625,2
GOOGLE-MACK_MUL-Weekday-02-0001000,20130625,2
GOOGLE-MACK_MUL-Weekday-02,20130626,2
GOOGLE-MACK_MUL-Weekday-02-0100100,20130626,2
GOOGLE-MACK_MUL-Weekday-02-0001000,20130626,2
GOOGLE-MACK_MUL-Weekday-02,20130627,2
GOOGLE-MACK_MUL-Weekday-02-0100100,20130627,2
GOOGLE-MACK_MUL-Weekday-02-0001000,20130627,2
GOOGLE-MACK_MUL-Weekday-02,20130628,2
GOOGLE-MACK_MUL-Weekday-02-0100100,20130628,2
GOOGLE-MACK_MUL-Weekday-02-0001000,20130628,2
GOOGLE-MACK_MUL-Weekday-02,20130701,2
GOOGLE-MACK_MUL-Weekday-02-0100100,20130701,2
GOOGLE-MACK_MUL-Weekday-02-0001000,20130701,2
GOOGLE-MACK_MUL-Weekday-02,20130702,2
GOOGLE-MACK_MUL-Weekday-02-0100100,20130702,2
GOOGLE-MACK_MUL-Weekday-02-0001000,20130702,2
GOOGLE-MACK_MUL-Weekday-02,20130703,2
GOOGLE-MACK_MUL-Weekday-02-0100100,20130703,2
GOOGLE-MACK_MUL-Weekday-02-0001000,20130703,2
GOOGLE-MACK_MUL-Weekday-02,20130704,2
GOOGLE-MACK_MUL-Weekday-02-0100100,20130704,2
GOOGLE-MACK_MUL-Weekday-02-0001000,20130704,2
GOOGLE-MACK_MUL-Weekday-02,20130705,2
GOOGLE-MACK_MUL-Weekday-02-0100100,20130705,2
GOOGLE-MACK_MUL-Weekday-02-0001000,20130705,2
GOOGLE-MACK_MUL-Weekday-02,20130923,2
GOOGLE-MACK_MUL-Weekday-02-0100100,20130923,2
GOOGLE-MACK_MUL-Weekday-02-0001000,20130923,2
GOOGLE-MACK_MUL-Weekday-02,20130924,2
GOOGLE-MACK_MUL-Weekday-02-0100100,20130924,2
GOOGLE-MACK_MUL-Weekday-02-0001000,20130924,2
GOOGLE-MACK_MUL-Weekday-02,20130925,2
GOOGLE-MACK_MUL-Weekday-02-0100100,20130925,2
GOOGLE-MACK_MUL-Weekday-02-0001000,20130925,2
GOOGLE-MACK_MUL-Weekday-02,20130926,2
GOOGLE-MACK_MUL-Weekday-02-0100100,20130926,2
GOOGLE-MACK_MUL-Weekday-02-0001000,20130926,2
GOOGLE-MACK_MUL-Weekday-02,20130927,2
GOOGLE-MACK_MUL-Weekday-02-0100100,20130927,2
GOOGLE-MACK_MUL-Weekday-02-0001000,20130927,2
GOOGLE-MACK_MUL-Weekday-02,20130930,2
GOOGLE-MACK_MUL-Weekday-02-0100100,20130930,2
GOOGLE-MACK_MUL-Weekday-02-0001000,20130930,2
GOOGLE-MACK_MUL-Weekday-02,20131001,2
GOOGLE-MACK_MUL-Weekday-02-0100100,20131001,2
GOOGLE-MACK_MUL-Weekday-02-0001000,20131001,2
GOOGLE-MACK_MUL-Weekday-02,20131002,2
GOOGLE-MACK_MUL-Weekday-02-0100100,20131002,2
GOOGLE-MACK_MUL-Weekday-02-0001000,20131002,2
GOOGLE-MACK_MUL-Weekday-02,20131003,2
GOOGLE-MACK_MUL-Weekday-02-0100100,20131003,2
GOOGLE-MACK_MUL-Weekday-02-0001000,20131003,2
GOOGLE-MACK_MUL-Weekday-02,20131004,2
GOOGLE-MACK_MUL-Weekday-02-0100100,20131004,2
GOOGLE-MACK_MUL-Weekday-02-0001000,20131004,2
GOOGLE-MACK_MUL-Weekday-02,20131007,2
GOOGLE-MACK_MUL-Weekday-02-0100100,20131007,2
GOOGLE-MACK_MUL-Weekday-02-0001000,20131007,2
GOOGLE-MACY_MUL-Weekday-02,20130708,2
GOOGLE-MACY_MUL-Weekday-02-0100100,20130708,2
GOOGLE-MACY_MUL-Weekday-02-0001000,20130708,2
GOOGLE-MACY_MUL-Weekday-02,20130709,2
GOOGLE-MACY_MUL-Weekday-02-0100100,20130709,2
GOOGLE-MACY_MUL-Weekday-02-0001000,20130709,2
GOOGLE-MACY_MUL-Weekday-02,20130710,2
GOOGLE-MACY_MUL-Weekday-02-0100100,20130710,2
GOOGLE-MACY_MUL-Weekday-02-0001000,20130710,2
GOOGLE-MACY_MUL-Weekday-02,20130711,2
GOOGLE-MACY_MUL-Weekday-02-0100100,20130711,2
GOOGLE-MACY_MUL-Weekday-02-0001000,20130711,2
